cliente_id,contrato_id,edad,provincia,antiguedad_meses,cuota_mensual,canal,producto,ingresos_mensuales,incidencias_12m,satisfaccion,fecha_alta,abandono
CLI-000052,CTR-000052,42,Valencia,10,100.94,Web,Básico,2158.48,0,,2025-11-25,No
CLI-001100,CTR-001100,31,Alicante,38,45.75,Web,Premium,2839.5,4,5,2023-07-23,Sí
CLI-000090,CTR-009940,21,Málaga,56,55.89,Teléfono,Estándar,3065.15,4,,2022-01-18,No
CLI-006252,CTR-006252,68,Madrid,37,47.56,Web,Premium,1882.08,6,,2023-08-05,No
CLI-009314,CTR-009314,48,Barcelona,63,68.2,Web,Básico,2576.1,0,7,2021-06-16,No
CLI-008547,CTR-008547,44,Sevilla,87,44.42,WEB,Empresa,2261.87,3,6,2019-06-04,No
CLI-000444,CTR-000444,44,Madrid,63,58.66,Aplicación,Básico,1688.31,4,7,2021-06-07,No
CLI-002413,CTR-002413,28,Sevilla,47,58.12,Web,Básico,,2,9,2022-10-14,No
CLI-007625,CTR-007625,35,Zaragoza,13,74.82,Web,Estándar,,5,4,2025-08-28,Sí
CLI-000100,CTR-009950,23,Madrid,16,66.42,Web,Estándar,3585.63,0,,2025-05-28,No
CLI-006484,CTR-006484,31,Valencia,1,63.7,Web,Empresa,3020.41,5,,2026-08-12,Sí
CLI-006767,CTR-006767,26,Madrid,9,105.78,Web,Premium,750,5,5,2025-12-05,Sí
CLI-009292,CTR-009292,18,Barcelona,8,27.5,Teléfono,Estándar,4568.7,3,,2026-01-13,No
CLI-003972,CTR-003972,25,Málaga,3,36.83,Aplicación,Estándar,2950.9,6,6,2026-06-22,Sí
CLI-009627,CTR-009627,54,Madrid,41,32.29,Tienda,Básico,3702.9,3,7,2023-04-28,Sí
CLI-005188,CTR-005188,26,Alicante,10,55.09,Web,Premium,2147.23,4,,2025-11-03,Sí
CLI-009581,CTR-009581,36,Murcia,8,44.93,Web,Estándar,2289.36,0,8,2026-01-15,No
CLI-009501,CTR-009501,56,Sevilla,57,15.52,Web,Estándar,3435.99,4,7,2021-12-13,No
CLI-000376,CTR-000376,30,Valencia,36,88.59,Aplicación,Básico,2254.39,5,7,2023-09-15,Sí
CLI-008793,CTR-008793,34,Zaragoza,24,84.64,Teléfono,Premium,2116.79,4,4,2024-09-12,Sí
CLI-004351,CTR-004351,42,Barcelona,11,92.6,Aplicación,Estándar,1843.74,1,,2025-10-04,No
CLI-004272,CTR-004272,39,Madrid,22,53.53,WEB,Estándar,,1,8,2024-11-22,No
CLI-008703,CTR-008703,23,Barcelona,25,35.31,Teléfono,Básico,,5,4,2024-08-02,Sí
CLI-006309,CTR-006309,45,Alicante,83,58.09,Teléfono,Estándar,1857.22,1,5,2019-10-22,No
